Change Component Footprint: Designator=Q15 Old Footprint=ROHM SOT-723 New Footprint=ON SEMI SOT-23-3
Change Component Comment : Designator=Q15 Old Comment=2SC5659T2LP New Comment=MMBT4124LT1G
Change component parameters: Designator = "Q15" ("Q15"); Footprint = "ROHM SOT-723"; UniqueID = "\ELFXENXE" ("\ELFXENXE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.onsemi.com/pub/Collateral/MMBT4124LT1-D.PDF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/on-semiconductor/MMBT4124LT1G/MMBT4124LT1GOSCT-ND/2705123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Collector (Ic) (Max)"; Value = "200mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Collector Cutoff (Max)"; Value = "50nA (ICBO)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Current Gain (hFE) (Min) @ Ic, Vce"; Value = "120 @ 2mA, 1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Transition"; Value = "300MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "3/11/2024 08:12:30"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 150°C (TJ)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "TO-236-3, SC-59, SOT-23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "MMBT4124LT1G"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "139"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power - Max"; Value = "225mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.03"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOT-23-3 (TO-236)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MMBT4124LT1GOSCT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Transistor Type"; Value = "NPN"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vce Saturation (Max) @ Ib, Ic"; Value = "300mV @ 5mA, 50mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Collector Emitter Breakdown (Max)"; Value = "25V"; VariantName = "[No Variations]"
